ID,Country,Region,City,Latitude,Longitude
293,Brazil,Bahia,Vitória da Conquista,-14.8567487,-40.8414804
294,Cuba,Pinar del Rio,Pinar del Rio,22.4167422,-83.7002582
295,United Kingdom,England,Stoke-on-Trent,53.0162014,-2.1812607
296,Kazakhstan,Almaty,Almaty,43.0865381,77.1202694
297,Poland,West Pomeranian Voivodeship,Szczecin,53.42968095,14.592912670292268
298,Poland,Lubusz Voivodeship,Zielona Góra,51.9383777,15.5050408
299,Denmark,Central Denmark Region,Herning,56.1379757,8.9746623
300,Denmark,Region of Southern Denmark,Kolding,55.4894999,9.47905
301,Denmark,Region of Southern Denmark,Vejle,55.707931,9.5329419
302,Denmark,Central Denmark Region,Aarhus,56.1496278,10.2134046
303,Denmark,Region of Southern Denmark,Odense,55.3997225,10.3852104
304,Spain,Cantabria,Santander,43.4618932,-3.8100255
305,Myanmar,Kachin,Myitkyina,25.3833313,97.3999925
306,-,-,-,N/A,N/A
307,Myanmar,Shan,Taunggyi,20.7907874,97.0364294
308,Myanmar,Magway,Magwe,20.1491458,94.9213518
309,Myanmar,Mandalay,Pyin U Lwin,22.0331367,96.4667341
310,Myanmar,Kayah,Loikaw,19.674167,97.2094441
311,Myanmar,Yangon,Yangon,16.7967129,96.1609916
312,Myanmar,Mon,Thaton,16.9136941,97.3689718
313,Myanmar,Bago,Pyay,18.7742554,95.26005035391995
314,Myanmar,Ayeyarwady,Pathein ( Bassein),16.783333,94.733333
315,Myanmar,Shan,Lashio,22.9418628,97.745165
316,Myanmar,Tanintharyi,Dawei,14.0797232,98.1990191
317,Myanmar,Bago,Bago,17.336667,96.479722
318,Myanmar,Mandalay,Myingyan,21.3911546,95.59067369065593
319,Myanmar,Rakhine,Sittwe,20.139197,92.8970859
320,Myanmar,Bago,Taungoo,18.8094312,96.23637270607415
321,Myanmar,Magway,Yenangyaung,20.4608216,94.872961
322,Myanmar,Mandalay,Mandalay,21.9596834,96.0948743
323,Myanmar,Sagaing,Monywa,22.1182175,95.1324747
324,Myanmar,Mandalay,Meiktila,20.8814233,95.8619463
325,Myanmar,Ayeyarwady,Hinthada,17.6457472,95.4609517
326,Myanmar,Tanintharyi,Mergui,12.4319552,98.5955711
